TX-TYPE,Time,Cost
CERTIFICATE,10254.94,0.000057582078216078
RA_SIGNATURE,14026.52,0.00006684836499012
CERTIFICATE,10535.18,0.000057599583110825
RA_SIGNATURE,10188.83,0.000066835897962732
CERTIFICATE,14271.81,0.000057600887556321
RA_SIGNATURE,9909.95,0.000066858152023176
CERTIFICATE,10440.05,0.00005762904736148
RA_SIGNATURE,10545.25,0.000066874917797355
CERTIFICATE,14022.97,0.000057620208105417
RA_SIGNATURE,10353.79,0.000066869705068935
CERTIFICATE,10812.32,0.00005763522327261
RA_SIGNATURE,10891.72,0.000066872587967988
CERTIFICATE,14181.66,0.00005762236632595
RA_SIGNATURE,10982.94,0.000066872832617169
CERTIFICATE,10182.92,0.000057616549588882
RA_SIGNATURE,14130.54,0.000066855204731073
CERTIFICATE,10316.19,0.000057634147778575
RA_SIGNATURE,10158.11,0.000066875659605291
CERTIFICATE,10637.49,0.000061832031516099
RA_SIGNATURE,14292.3,0.000083730514174539
CERTIFICATE,10379.07,0.000057609305339646
RA_SIGNATURE,13969.71,0.000066856400265762
CERTIFICATE,10837.44,0.00005763527263704
RA_SIGNATURE,10774.02,0.00006690067346304
CERTIFICATE,10298.59,0.000057652359043875
RA_SIGNATURE,14290.63,0.000066914416094544
CERTIFICATE,10208.65,0.000057688392896556
RA_SIGNATURE,10587.92,0.000066973477888503
CERTIFICATE,10969.1,0.00005773968605989
RA_SIGNATURE,14198.97,0.000067055532664257
CERTIFICATE,22512.02,0.000057816686496353
RA_SIGNATURE,11372.08,0.000067156836920742
CERTIFICATE,10278.11,0.000057927214029128
RA_SIGNATURE,14191.75,0.00006724438269171
CERTIFICATE,22214.59,0.000058001654020621
RA_SIGNATURE,10664.32,0.000067376458876884
CERTIFICATE,13748.68,0.000058087343897842
RA_SIGNATURE,9836.8,0.000067490146716246
CERTIFICATE,14369.03,0.000062435376586674
RA_SIGNATURE,10321.16,0.000084541397216542
CERTIFICATE,10055.27,0.000058187998238481
RA_SIGNATURE,14289.93,0.000067590430320684
CERTIFICATE,9974.02,0.000058223864787838
RA_SIGNATURE,10756.71,0.000067620477005994
CERTIFICATE,14652.16,0.000058229290168297
RA_SIGNATURE,10303.99,0.00006760090924596
CERTIFICATE,10112.94,0.000058253967982592
RA_SIGNATURE,13954.91,0.000067648155137289
CERTIFICATE,11046.98,0.000058328332626362
RA_SIGNATURE,10780.96,0.000067673642039706
CERTIFICATE,21859.71,0.000058200926820965
RA_SIGNATURE,14211.63,0.00006758721217809
CERTIFICATE,10873.88,0.000058264059373162
RA_SIGNATURE,10992.6,0.000067735661117793
CERTIFICATE,22428.4,0.000058346284250067
RA_SIGNATURE,14969.55,0.000067756177498476
CERTIFICATE,9844,0.000058347125282193
RA_SIGNATURE,9765.38,0.000067845913166052
CERTIFICATE,14171.08,0.000062706145444722
RA_SIGNATURE,13915.89,0.000085002837862483
CERTIFICATE,6702.1,0.000058460865406152
RA_SIGNATURE,14333.7,0.000067920285939759
CERTIFICATE,9794.16,0.000058514383948604
RA_SIGNATURE,14131.08,0.000067854137313171
CERTIFICATE,9815.11,0.000058486696893963
