TX-TYPE,Time,Cost
RA_SIGNATURE,66.24,0.000079213500422472
CERTIFICATE,55.78,0.000057418500306232
RA_SIGNATURE,53.76,0.000066613500355272
CERTIFICATE,53.65,0.000057418500306232
RA_SIGNATURE,54.46,0.000066613500355272
CERTIFICATE,62.29,0.000057418500306232
RA_SIGNATURE,63.96,0.000066613500355272
CERTIFICATE,52.51,0.000057418500306232
RA_SIGNATURE,57.48,0.000066613500355272
CERTIFICATE,99.07,0.000057418500306232
RA_SIGNATURE,71.27,0.000066613500355272
CERTIFICATE,51.95,0.000057418500306232
RA_SIGNATURE,58.62,0.000066613500355272
CERTIFICATE,64.94,0.000057418500306232
RA_SIGNATURE,64.56,0.000066613500355272
CERTIFICATE,88.96,0.000057418500306232
RA_SIGNATURE,81.61,0.000066613500355272
CERTIFICATE,52.36,0.000057418500306232
RA_SIGNATURE,66.22,0.000066613500355272
CERTIFICATE,75.54,0.000061618500328632
RA_SIGNATURE,58.68,0.000079213500422472
CERTIFICATE,59.04,0.000057418500306232
RA_SIGNATURE,60.78,0.000066613500355272
CERTIFICATE,57.05,0.000057418500306232
RA_SIGNATURE,71.92,0.000066613500355272
CERTIFICATE,60.27,0.000057418500306232
RA_SIGNATURE,88.98,0.000066613500355272
CERTIFICATE,67.88,0.000057418500306232
RA_SIGNATURE,60.57,0.000066613500355272
CERTIFICATE,62.45,0.000057418500306232
RA_SIGNATURE,68.83,0.000066613500355272
CERTIFICATE,55.86,0.000057418500306232
RA_SIGNATURE,54.46,0.000066613500355272
CERTIFICATE,77.85,0.000057418500306232
RA_SIGNATURE,70.96,0.000066613500355272
CERTIFICATE,50.49,0.000057418500306232
RA_SIGNATURE,57.75,0.000066613500355272
CERTIFICATE,62.57,0.000057418500306232
RA_SIGNATURE,57.88,0.000066613500355272
CERTIFICATE,78.64,0.000061618500328632
RA_SIGNATURE,53.67,0.000079231500422568
CERTIFICATE,80.24,0.000057418500306232
RA_SIGNATURE,53.24,0.000066631500355368
CERTIFICATE,51.58,0.000057418500306232
RA_SIGNATURE,58.8,0.000066631500355368
CERTIFICATE,65.99,0.000057418500306232
RA_SIGNATURE,58.57,0.000066631500355368
CERTIFICATE,61.48,0.000057418500306232
RA_SIGNATURE,72.59,0.000066631500355368
CERTIFICATE,71.92,0.000057418500306232
RA_SIGNATURE,56.96,0.000066631500355368
CERTIFICATE,76.12,0.000057418500306232
RA_SIGNATURE,65.39,0.000066631500355368
CERTIFICATE,54.46,0.000057418500306232
RA_SIGNATURE,58.94,0.000066631500355368
